entry_time,exit_time,side,entry,sl,tp,exit_price,outcome,raw_R,fee_R,net_R,risk_pct,risk_pct_abs,entry_idx,exit_idx,symbol,year
2024-07-28 20:45:00,2024-07-28 22:15:00,long,162.5,162.01693276070048,164.43226895719806,164.43226895719806,tp,4.0,0.3027528842818522,3.697247115718148,0.0029727214726124026,0.0029727214726124026,60441,60459,XMRUSDT,2024
2024-07-29 16:50:00,2024-07-29 21:35:00,long,162.09,161.40827448951416,164.8169020419434,161.40827448951416,sl,-1.0,0.21398788479550152,-1.2139878847955015,0.004205845582613656,0.004205845582613656,60682,60739,XMRUSDT,2024
2024-08-04 17:40:00,2024-08-04 20:45:00,long,144.83,143.37480077950073,150.65079688199714,150.65079688199714,tp,4.0,0.08957330251680434,3.910426697483196,0.010047636680931308,0.010047636680931308,62420,62457,XMRUSDT,2024
2024-08-14 03:50:00,2024-08-14 12:25:00,short,150.76,151.27623407433776,148.6950637026489,151.27623407433776,sl,-1.0,0.26283425822686285,-1.2628342582268628,0.0034242111590459937,0.0034242111590459937,65134,65237,XMRUSDT,2024
2024-08-19 08:20:00,2024-08-19 10:50:00,short,154.91,155.68320803100144,151.81716787599422,155.68320803100144,sl,-1.0,0.1803124054718198,-1.1803124054718197,0.004991337105425378,0.004991337105425378,66628,66658,XMRUSDT,2024
2024-08-20 06:50:00,2024-08-20 07:35:00,long,154.07,153.60785834040976,155.91856663836091,155.91856663836091,tp,4.0,0.3000443632866794,3.6999556367133204,0.00299955643272688,0.00299955643272688,66898,66907,XMRUSDT,2024
2024-08-29 21:25:00,2024-08-29 22:05:00,long,160.18,159.35604253115136,163.4758298753946,159.35604253115136,sl,-1.0,0.17496291428906405,-1.174962914289064,0.005143947239659427,0.005143947239659427,69665,69673,XMRUSDT,2024
2024-08-31 07:05:00,2024-08-31 07:20:00,long,162.36,161.32073405366427,166.517063785343,161.32073405366427,sl,-1.0,0.140603086741373,-1.140603086741373,0.006400997452178776,0.006400997452178776,70069,70072,XMRUSDT,2024
2024-08-31 12:55:00,2024-08-31 13:15:00,short,170.4,171.38259580487966,166.4696167804814,171.38259580487966,sl,-1.0,0.15607638383799496,-1.156076383837995,0.005766407305631754,0.005766407305631754,70139,70143,XMRUSDT,2024
2024-09-07 14:05:00,2024-09-07 14:55:00,short,171.38,172.30451587489412,167.6819365004235,172.30451587489412,sl,-1.0,0.16683542618201494,-1.1668354261820149,0.005394537722570466,0.005394537722570466,72169,72179,XMRUSDT,2024
2024-09-07 21:55:00,2024-09-08 00:30:00,long,165.49,164.64805677742854,168.8577728902859,168.8577728902859,tp,4.0,0.1769014774477341,3.823098522552266,0.005087577633521499,0.005087577633521499,72263,72294,XMRUSDT,2024
2024-09-08 04:05:00,2024-09-08 04:35:00,short,171.65,172.36580926561564,168.78676293753747,172.36580926561564,sl,-1.0,0.21581866486058263,-1.2158186648605827,0.004170167582963197,0.004170167582963197,72337,72343,XMRUSDT,2024
2024-09-08 21:55:00,2024-09-08 22:35:00,short,175.37,176.09291684392474,172.47833262430106,172.47833262430106,tp,4.0,0.2183280156305671,3.781671984369433,0.004122237805352888,0.004122237805352888,72551,72559,XMRUSDT,2024
2024-09-19 13:25:00,2024-09-19 16:50:00,short,174.58,175.25247936631226,171.89008253475103,175.25247936631226,sl,-1.0,0.23364583044626108,-1.2336458304462612,0.0038519839976643684,0.0038519839976643684,75617,75658,XMRUSDT,2024
2024-09-28 07:10:00,2024-09-28 08:10:00,long,160.49,159.87399071037828,162.95403715848693,159.87399071037828,sl,-1.0,0.2344786067896742,-1.2344786067896742,0.003838303256413043,0.003838303256413043,78134,78146,XMRUSDT,2024
